mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
426.06,21.376070733415904,396.0,453.0,390.32,7.7186527321806615,380.0,403.0,70.10114445828158,41.77564536472343,-3.125,370.4014924713452,1.0,4462.071395423375,1,1150,1200
423.24,18.149997245178852,396.0,446.0,389.84,7.2148735262650305,379.0,400.0,59.0877601921082,35.52128369695996,12.5,329.0018047062964,1.0,3777.5424727922446,1,1175,1225
427.2,15.312739794040777,404.0,446.0,387.4,8.758995376183275,377.0,400.0,56.430997893107005,36.313461371620214,-3.125,297.26947476153686,1.0,1536.8920028537239,1,1200,1250
427.72,17.668095539700932,404.0,452.0,385.16,7.590415008416865,377.0,399.0,62.438730512534,34.885956085266685,31.25,302.97999108852053,1.0,2851.2353396182652,1,1225,1275
427.26,16.975052282688264,407.0,452.0,384.58,7.73327873543945,377.0,399.0,50.22356715749992,36.30727615748798,21.875,261.47493307198687,1.0,2798.9580041237878,1,1250,1300
428.74,15.332070962528187,407.0,444.0,388.56,9.447031279719571,377.0,400.0,35.68173348966946,35.24824669642734,-12.5,249.68730444297725,1.0,4007.134940503485,1,1275,1325
426.28,17.828112631459337,401.0,444.0,393.94,7.314123324090181,379.0,400.0,47.29168666413365,41.31883798537181,-31.25,324.7595264191645,0.5,4473.94874121429,1,1300,1350
408.18,7.092785066530638,401.0,435.0,394.38,7.149517466235047,379.0,399.0,34.7827596185899,43.36801394248291,37.5,289.0582769961794,0.5,1594.1766466266668,0,1325,1375
406.48,0.4995998398718719,406.0,407.0,398.58,0.532541078227774,397.0,399.0,4.092907722902811,8.031071309097095,0.0,103.64452469860625,3.5,96.37983650397103,0,1350,1400
406.44,0.4963869458396343,406.0,407.0,398.62,0.48538644398046393,398.0,399.0,5.181980515339465,7.375437474390393,-3.125,130.69077291454053,4.0,95.74489752236538,0,1375,1425
406.6,0.4898979485566357,406.0,407.0,398.38,0.48538644398046393,398.0,399.0,5.285533905932738,7.917583679964198,15.625,133.50005852058644,5.5,134.96347787599126,0,1400,1450
406.36,1.3380582946942186,401.0,407.0,397.96,0.6916646586316233,395.0,399.0,5.5644951022459805,10.014309474800571,-12.5,92.91292967074065,0.5,70.9800802377778,0,1425,1475
403.46,2.7800000000000002,400.0,407.0,396.68,1.2874781551544865,394.0,399.0,7.019958706027654,10.342638916914124,0.0,121.03072956898178,0.5,373.26826621128964,0,1450,1500
400.94,0.4651881339845203,400.0,402.0,395.92,0.6584831053261732,394.0,397.0,6.164213562373095,8.0701593018636,0.0,108.25317547305482,2.0,77.78418165532338,0,1475,1525
